epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,18457.3,0.82301,0.58049,0.94356,0.20033,1,0.22267,0.18494,0.80011,17.7959,0.95277,0.001091,0.001091,0.001091
103,18587.9,0.82099,0.59163,0.95203,0.20055,1,0.22364,0.18062,0.76691,18.7659,0.9583,0.001082,0.001082,0.001082
104,18926.1,0.84144,0.59488,0.96032,0.20037,1,0.22002,0.18059,0.81209,19.7675,0.96261,0.001073,0.001073,0.001073
105,19155.7,0.81771,0.64052,0.94323,0.20032,1,0.2242,0.18151,0.79222,15.894,0.95509,0.001064,0.001064,0.001064
106,19316.4,0.82075,0.63791,0.96272,0.20032,1,0.21706,0.17705,0.79447,16.5486,0.95621,0.001055,0.001055,0.001055
107,19523.3,0.79652,0.57198,0.93812,0.20099,1,0.21835,0.18096,0.62838,15.3557,0.92639,0.001046,0.001046,0.001046
108,19700.7,0.80312,0.53148,0.94219,0.20066,1,0.21173,0.17182,0.76148,22.7471,0.94224,0.001037,0.001037,0.001037
109,19872.9,0.82248,0.59986,0.95588,0.20046,1,0.22086,0.18272,0.65361,19.8233,0.92759,0.001028,0.001028,0.001028
110,20035.2,0.81708,0.58639,0.94705,0.20034,1,0.21546,0.17715,0.83539,15.8405,0.96078,0.001019,0.001019,0.001019
111,20286.4,0.7801,0.5485,0.93385,0.20033,1,0.22386,0.18322,0.88728,20.8824,0.97495,0.00101,0.00101,0.00101
112,20502.9,0.76647,0.59995,0.93195,0.20032,1,0.21184,0.17362,0.78386,22.0859,0.94621,0.001001,0.001001,0.001001
113,20656.5,0.81507,0.57046,0.94962,0.20032,1,0.23205,0.19281,0.76724,17.8733,0.94943,0.000992,0.000992,0.000992
114,20768.6,0.79911,0.61518,0.94692,0.20032,1,0.21882,0.17869,0.87669,17.177,0.98104,0.000983,0.000983,0.000983
115,20921.9,0.79883,0.62066,0.95517,0.20034,1,0.21607,0.17965,0.67139,16.1299,0.93151,0.000974,0.000974,0.000974
116,21191,0.79356,0.64184,0.94377,0.20034,1,0.23007,0.19231,0.68041,15.2533,0.92577,0.000965,0.000965,0.000965
117,21467.4,0.79013,0.59471,0.94203,0.20034,1,0.21186,0.17408,0.73727,17.222,0.93464,0.000956,0.000956,0.000956
118,21686.2,0.81226,0.60058,0.93972,0.20034,1,0.22106,0.1837,0.66278,18.0979,0.92506,0.000947,0.000947,0.000947
119,21944.5,0.79896,0.53306,0.95451,0.20088,1,0.22936,0.1904,0.66739,19.1942,0.92738,0.000938,0.000938,0.000938
